username,score1,score2,delta,per_hour,per_day,pct_per_hour
Kalgen,669703,669923,220,12745.274241674912,305886.5818001979,1.9031233609039997
QzarSTB,256687,256797,110,6372.637120837456,152943.29090009895,2.4826489541104366
manbantoo,217665,217775,110,6372.637120837456,152943.29090009895,2.927727067207616
kirk,142509,142619,110,6372.637120837456,152943.29090009895,4.471743623797414
deft-code,50329,50439,110,6372.637120837456,152943.29090009895,12.661958554387047
volotsyouga,40384,40494,110,6372.637120837456,152943.29090009895,15.780103805560264
Xerxes_2,104454,104542,88,5098.109696669965,122354.63272007916,4.880722324343696
giaco,511561,511561,0,0.0,0.0,0.0
CrAzYDubC,293347,293347,0,0.0,0.0,0.0
MeowKittyWow,221865,221865,0,0.0,0.0,0.0
Odiodin,192305,192305,0,0.0,0.0,0.0
Karmo,135162,135162,0,0.0,0.0,0.0
zkl2333,133432,133432,0,0.0,0.0,0.0
WoodenRobot,127104,127104,0,0.0,0.0,0.0
Nidoran,82295,82295,0,0.0,0.0,0.0
squisher,62259,62259,0,0.0,0.0,0.0
Digital,59806,59806,0,0.0,0.0,0.0
dump_table,54035,54035,0,0.0,0.0,0.0
olek_PL,33205,33205,0,0.0,0.0,0.0
olo,16338,16338,0,0.0,0.0,0.0
thomasfn,15820,15820,0,0.0,0.0,0.0
Ambroza,10343,10343,0,0.0,0.0,0.0
